start_date_time,AATB,JUNG,KERG,MOSC,NEWK,OULU,SOPO,THUL,JUNG1,MXCO,APTY,ATHN,FSMT,INVK,NAIN,PSNM,BKSN
2010-01-01,1448.99,169.01,237.88,226.39,103.23,114.08,,131.91,394.99,232.89,185.69,57.22,229.49,205.11,226.01,620.68,111.08
2010-01-02,1442.27,167.26,237.12,225.39,103.26,113.49,,130.61,390.43,232.03,185.04,57.06,228.41,203.78,224.48,620.76,110.66
2010-01-03,1450.31,168.18,237.19,227.3,103.84,114.01,,131.07,393.4,232.61,185.79,57.34,229.03,204.63,225.36,620.63,110.31
2010-01-04,1447.32,168.84,237.56,227.18,103.68,114.09,,130.92,395.16,231.81,185.87,57.17,228.96,204.33,225.4,620.84,110.09
2010-01-05,1439.53,169.66,237.85,226.6,103.87,114.12,,131.29,397.26,232.46,185.96,57.21,229.07,204.1,225.52,621.6,109.35
2010-01-06,1433.01,170.12,238.2,226.48,104.03,114.19,,131.72,398.68,232.48,185.91,57.13,229.38,204.05,225.69,620.06,108.86
2010-01-07,1437.96,169.47,237.9,226.21,103.91,114.19,,132.08,397.27,232.94,185.83,57.32,229.02,204.55,226.12,619.44,108.73
2010-01-08,1452.44,168.45,237.79,225.98,103.94,114.32,,132.42,398.05,232.86,186.31,57.28,229.49,205.18,227.33,620.74,108.72
2010-01-09,1453.22,169.58,236.79,225.4,104.09,113.81,,132.51,397.57,232.4,185.45,57.33,229.83,206.04,227.42,621.29,108.54
2010-01-10,1447.27,169.04,236.78,225.76,103.7,113.51,,131.69,396.21,231.54,184.79,57.38,228.53,205.63,226.69,620.64,108.64
2010-01-11,1442.72,168.6,236.52,225.37,103.36,113.28,,131.46,395.02,231.59,185.08,57.16,227.46,204.85,226.29,620.44,109.28
2010-01-12,1450.0,168.87,235.87,225.8,103.5,113.44,,131.34,395.62,232.1,185.87,57.36,227.3,204.3,226.04,620.75,109.68
